quarter,housing_wealth_million_usd,financial_wealth_million_usd,liquid_assets_million_usd
1945Q4,134635,647873,105679
1946Q4,158074,701941,117219
1947Q4,206381,749852,120566
1948Q4,229359,778442,120393
1949Q4,246931,802415,121208
1950Q4,278126,860949,126134
1951Q4,308963,935158,135533
1952Q1,311906,947979,135929
1952Q2,322754,963081,136453
1952Q3,324183,974295,140793
1952Q4,334895,972134,145149
1953Q1,340387,975879,147798
1953Q2,347238,973579,147194
1953Q3,357332,979636,151399
1953Q4,355919,1003438,154668
1954Q1,357485,1021203,155101
1954Q2,361814,1043617,157058
1954Q3,371385,1073841,162898
1954Q4,379599,1086318,166045
1955Q1,384467,1104359,167823
1955Q2,394908,1133807,168027
1955Q3,406169,1163916,173014
1955Q4,414487,1179707,175816
1956Q1,424188,1212690,177315
1956Q2,433166,1217414,178870
1956Q3,440946,1227892,183163
1956Q4,445773,1262177,187101
1957Q1,453596,1265521,189263
1957Q2,461358,1296213,190649
1957Q3,468792,1288874,195175
1957Q4,471674,1304302,198138
1958Q1,468427,1336254,201524
1958Q2,474349,1361423,202122
1958Q3,484262,1408805,210487
1958Q4,493819,1434914,214964
1959Q1,493678,1454063,217079
1959Q2,504127,1476494,220110
1959Q3,513598,1484988,225937
1959Q4,521544,1516763,228073
1960Q1,534527,1511404,228284
1960Q2,539185,1529888,230198
1960Q3,545818,1522014,236950
1960Q4,547589,1578049,241999
1961Q1,545980,1630901,245183
1961Q2,556950,1647640,248915
1961Q3,567010,1676932,254476
1961Q4,576368,1730013,259771
1962Q1,584759,1734601,264379
1962Q2,590011,1639639,269120
1962Q3,594920,1678128,276819
1962Q4,603604,1780678,285976
1963Q1,611427,1808433,294112
1963Q2,612853,1846067,300241
1963Q3,623306,1882115,307676
1963Q4,628622,1877506,316913
1964Q1,630274,1923614,320018
1964Q2,643749,1961279,327819
1964Q3,649814,2005378,338206
1964Q4,662499,2043447,345826
1965Q1,669614,2080118,351233
1965Q2,675093,2078308,357787
1965Q3,681036,2154102,369367
1965Q4,696286,2224991,380034
1966Q1,696079,2230397,384058
1966Q2,726016,2236835,388431
1966Q3,728570,2203540,393357
1966Q4,748935,2272467,400488
1967Q1,753320,2371092,410113
1967Q2,762765,2404472,421794
1967Q3,774483,2478187,433251
1967Q4,794221,2540473,445875
1968Q1,817753,2524542,450725
1968Q2,836122,2650131,458177
1968Q3,849479,2697606,470260
1968Q4,889605,2831020,484971
1969Q1,914582,2815622,482576
1969Q2,932881,2808579,488918
1969Q3,945017,2817132,486112
1969Q4,968674,2815527,492052
1970Q1,973544,2826483,489065
1970Q2,1006440,2731037,503472
1970Q3,1005793,2859606,525253
1970Q4,1025204,2963650,541812
1971Q1,1051931,3093654,565757
1971Q2,1078498,3147608,586950
1971Q3,1104238,3190690,602006
1971Q4,1127739,3300632,622731
1972Q1,1171254,3413910,641738
1972Q2,1192509,3469077,660025
1972Q3,1232534,3560591,683906
