quarter,housing_wealth_million_usd,financial_wealth_million_usd,liquid_assets_million_usd
1945Q4,116049,,
1946Q4,133422,,
1947Q4,177473,,
1948Q4,199326,,
1949Q4,216535,,
1950Q4,243315,,
1951Q4,270874,,
1952Q1,273170,,
1952Q2,283505,,
1952Q3,284584,,
1952Q4,294752,,
1953Q1,300182,,
1953Q2,306680,,
1953Q3,316348,,
1953Q4,315055,,
1954Q1,316592,,
1954Q2,320732,,
1954Q3,329781,,
1954Q4,337554,,
1955Q1,341601,,
1955Q2,350860,,
1955Q3,360688,,
1955Q4,367383,,
1956Q1,375328,,
1956Q2,383760,,
1956Q3,390218,,
1956Q4,394263,,
1957Q1,401222,,
1957Q2,408017,,
1957Q3,414670,,
1957Q4,417162,,
1958Q1,414465,,
1958Q2,419841,,
1958Q3,429327,,
1958Q4,438440,,
1959Q1,438052,,
1959Q2,447672,,
1959Q3,456362,,
1959Q4,463647,,
1960Q1,475580,,
1960Q2,479638,,
1960Q3,485654,,
1960Q4,486897,,
1961Q1,484488,,
1961Q2,494136,,
1961Q3,502979,,
1961Q4,511054,,
1962Q1,518133,,
1962Q2,522112,,
1962Q3,525874,,
1962Q4,533162,,
1963Q1,539625,,
1963Q2,540004,,
1963Q3,549322,,
1963Q4,553248,,
1964Q1,553844,,
1964Q2,565045,,
1964Q3,569664,,
1964Q4,579830,,
1965Q1,585435,,
1965Q2,589142,,
1965Q3,593543,,
1965Q4,605593,,
1966Q1,604127,,
1966Q2,630518,,
1966Q3,631432,,
1966Q4,648979,,
1967Q1,651709,,
1967Q2,659242,,
1967Q3,668871,,
1967Q4,685689,,
1968Q1,706181,,
1968Q2,721691,,
1968Q3,732574,,
1968Q4,768164,,
1969Q1,789668,,
1969Q2,804195,,
1969Q3,812973,,
1969Q4,832441,,
1970Q1,834315,,
1970Q2,861308,,
1970Q3,859007,,
1970Q4,874469,,
1971Q1,896384,,
1971Q2,917847,,
1971Q3,938482,,
1971Q4,957235,,
1972Q1,994999,,
1972Q2,1011650,,
1972Q3,1046653,,
1972Q4,1098624,,
1973Q1,1125134,,
1973Q2,1164853,,
1973Q3,1216897,,
1973Q4,1251410,,
1974Q1,1234864,,
1974Q2,1224908,,
1974Q3,1228579,,
1974Q4,1261141,,
1975Q1,1320641,,
1975Q2,1376129,,
1975Q3,1374568,,
1975Q4,1413658,,
1976Q1,1444386,,
1976Q2,1510149,,
1976Q3,1541764,,
1976Q4,1589977,,
1977Q1,1650002,,
1977Q2,1740633,,
1977Q3,1809353,,
1977Q4,1886806,,
1978Q1,1953165,,
1978Q2,2047892,,
1978Q3,2129042,,
1978Q4,2210877,,
1979Q1,2324853,,
1979Q2,2438382,,
1979Q3,2527395,,
1979Q4,2603271,,
1980Q1,2709296,,
1980Q2,2784958,,
1980Q3,2898047,,
1980Q4,2943161,,
1981Q1,2976773,,
1981Q2,3145246,,
1981Q3,3243369,,
1981Q4,3292960,,
1982Q1,3379724,,
1982Q2,3402543,,
1982Q3,3409839,,
1982Q4,3447373,,
1983Q1,3500620,,
1983Q2,3548174,,
1983Q3,3594626,,
1983Q4,3639466,,
1984Q1,3815839,,
1984Q2,3953991,,
1984Q3,4087621,,
1984Q4,4209390,,
1985Q1,4345136,,
1985Q2,4508123,,
1985Q3,4684390,,
1985Q4,4851839,,
1986Q1,4956078,,
1986Q2,5099152,,
1986Q3,5241843,,
1986Q4,5370919,,
1987Q1,5507465,,
1987Q2,5652809,,
1987Q3,5791918,,
1987Q4,5886157,12583708,2992086
1988Q1,6027537,12941345,3075661
1988Q2,6213264,13210597,3103091
1988Q3,6339667,13429858,3147337
1988Q4,6448126,13829676,3214811
1989Q1,6562274,14124280,3248032
1989Q2,6695064,14426930,3263205
1989Q3,6893169,14803415,3319111
1989Q4,6994317,15125626,3377285
1990Q1,7012984,15178411,3404130
1990Q2,7085162,15430151,3392916
1990Q3,7162726,15264864,3429358
1990Q4,7146396,15761852,3477035
1991Q1,7147403,16229291,3534089
