quarter,region,housing_share_within_ca_il_tx,financial_share_within_ca_il_tx,liquid_share_within_ca_il_tx,housing_proxy_scaled_million_usd,financial_proxy_scaled_million_usd,liquid_proxy_scaled_million_usd,liquid_share_source
1989Q3,California,0.625372,0.544392,0.544392,4806598.887,8321011.656,1852754.895,income_share_fallback
1989Q3,Illinois,0.181912,0.205622,0.205622,1398174.175,3142923.712,699802.804,income_share_fallback
1989Q3,Texas,0.192716,0.249986,0.249986,1481212.938,3821036.632,850791.3,income_share_fallback
1989Q4,California,0.63155,0.544392,0.544392,4924523.463,8505180.451,1884361.732,income_share_fallback
1989Q4,Illinois,0.180211,0.205622,0.205622,1405200.678,3212485.984,711741.002,income_share_fallback
1989Q4,Texas,0.188239,0.249986,0.249986,1467796.859,3905607.565,865305.266,income_share_fallback
1990Q1,California,0.636954,0.544565,0.544565,4971954.584,8538940.896,1900538.074,income_share_fallback
1990Q1,Illinois,0.177772,0.203687,0.203687,1387659.732,3193867.365,710868.784,income_share_fallback
1990Q1,Texas,0.185273,0.251748,0.251748,1446209.684,3947486.739,878604.142,income_share_fallback
1990Q2,California,0.63565,0.544565,0.544565,5007473.788,8683574.655,1894725.931,income_share_fallback
1990Q2,Illinois,0.178772,0.203687,0.203687,1408316.8,3247965.531,708694.836,income_share_fallback
1990Q2,Texas,0.185578,0.251748,0.251748,1461930.413,4014349.814,875917.233,income_share_fallback
1990Q3,California,0.635391,0.544565,0.544565,5055974.499,8587432.782,1914870.482,income_share_fallback
1990Q3,Illinois,0.179319,0.203687,0.203687,1426886.409,3212005.053,716229.614,income_share_fallback
1990Q3,Texas,0.185291,0.251748,0.251748,1474408.091,3969904.165,885229.904,income_share_fallback
1990Q4,California,0.634543,0.544565,0.544565,5039207.468,8866694.461,1941611.894,income_share_fallback
1990Q4,Illinois,0.180661,0.203687,0.203687,1434716.373,3316458.846,726231.852,income_share_fallback
1990Q4,Texas,0.184796,0.251748,0.251748,1467554.159,4099004.693,897592.254,income_share_fallback
1991Q1,California,0.632276,0.544751,0.544751,5019041.97,9142603.899,1974768.676,income_share_fallback
1991Q1,Illinois,0.180865,0.200946,0.200946,1435718.24,3372493.962,728446.24,income_share_fallback
1991Q1,Texas,0.186859,0.254302,0.254302,1483299.79,4267976.14,921867.084,income_share_fallback
1991Q2,California,0.628394,0.544751,0.544751,5021100.74,9186164.404,1938499.669,income_share_fallback
