quarter,wealth_group,housing_wealth_million_usd,financial_wealth_million_usd,liquid_assets_million_usd
1989Q3,bottom50,825615.0,514840.0,170029.0
1989Q3,middle40,3425336.0,4670081.0,1235397.0
1989Q3,top10,2642218.0,9618493.0,1913683.0
1989Q4,bottom50,823610.0,525974.0,173880.0
1989Q4,middle40,3445677.0,4797207.0,1262676.0
1989Q4,top10,2725030.0,9802446.0,1940730.0
1990Q1,bottom50,850154.0,531171.0,175374.0
1990Q1,middle40,3446873.0,4870431.0,1276493.0
1990Q1,top10,2715957.0,9776809.0,1952264.0
1990Q2,bottom50,832969.0,537515.0,176425.0
1990Q2,middle40,3469957.0,4967885.0,1284838.0
1990Q2,top10,2782237.0,9924752.0,1931652.0
1990Q3,bottom50,876084.0,538867.0,178653.0
1990Q3,middle40,3500067.0,5006349.0,1302788.0
1990Q3,top10,2786574.0,9719649.0,1947916.0
1990Q4,bottom50,904808.0,551760.0,182269.0
1990Q4,middle40,3460919.0,5153428.0,1328009.0
1990Q4,top10,2780668.0,10056664.0,1966756.0
1991Q1,bottom50,901273.0,564448.0,184643.0
1991Q1,middle40,3435771.0,5293417.0,1348364.0
1991Q1,top10,2810359.0,10371427.0,2001082.0
1991Q2,bottom50,913945.0,567101.0,182471.0
1991Q2,middle40,3450601.0,5357267.0,1336736.0
1991Q2,top10,2838265.0,10369136.0,1944427.0
1991Q3,bottom50,955265.0,574929.0,182407.0
1991Q3,middle40,3482260.0,5460460.0,1338923.0
1991Q3,top10,2832864.0,10544255.0,1920084.0
1991Q4,bottom50,977142.0,589040.0,184123.0
1991Q4,middle40,3488489.0,5612784.0,1352310.0
1991Q4,top10,2864954.0,10971214.0,1917712.0
1992Q1,bottom50,981200.0,586237.0,177185.0
1992Q1,middle40,3497018.0,5644067.0,1314521.0
1992Q1,top10,2916327.0,10894125.0,1844914.0
1992Q2,bottom50,982394.0,593419.0,176376.0
1992Q2,middle40,3511808.0,5712846.0,1311117.0
1992Q2,top10,2953851.0,10905531.0,1803533.0
1992Q3,bottom50,1052111.0,605050.0,177001.0
1992Q3,middle40,3564037.0,5815801.0,1317047.0
1992Q3,top10,2947840.0,11102551.0,1782882.0
1992Q4,bottom50,1082524.0,624964.0,178671.0
1992Q4,middle40,3607461.0,5922263.0,1321926.0
1992Q4,top10,2962219.0,11537127.0,1793695.0
1993Q1,bottom50,1033957.0,636641.0,174504.0
1993Q1,middle40,3598473.0,5975742.0,1293003.0
1993Q1,top10,3037675.0,11766800.0,1764964.0
1993Q2,bottom50,1073911.0,648814.0,173947.0
1993Q2,middle40,3669052.0,6020802.0,1284697.0
1993Q2,top10,3037124.0,11915501.0,1758758.0
1993Q3,bottom50,1117732.0,663643.0,174240.0
1993Q3,middle40,3754403.0,6086547.0,1281896.0
1993Q3,top10,3023885.0,12185867.0,1765010.0
1993Q4,bottom50,1142647.0,677109.0,173748.0
1993Q4,middle40,3819293.0,6149112.0,1275121.0
1993Q4,top10,3044801.0,12489531.0,1772529.0
1994Q1,bottom50,1122845.0,684983.0,172421.0
1994Q1,middle40,3865238.0,6163997.0,1263499.0
1994Q1,top10,3094286.0,12528119.0,1775162.0
1994Q2,bottom50,1137353.0,693530.0,169666.0
1994Q2,middle40,3940755.0,6185877.0,1241984.0
1994Q2,top10,3112354.0,12624953.0,1750704.0
1994Q3,bottom50,1189064.0,708665.0,170091.0
1994Q3,middle40,4018231.0,6248119.0,1240599.0
1994Q3,top10,3086345.0,12856079.0,1767898.0
1994Q4,bottom50,1233141.0,718917.0,170331.0
1994Q4,middle40,4049746.0,6280618.0,1238654.0
1994Q4,top10,3078910.0,13039492.0,1790896.0
1995Q1,bottom50,1262167.0,738392.0,172109.0
1995Q1,middle40,4078138.0,6374860.0,1245833.0
1995Q1,top10,3074899.0,13386806.0,1828540.0
1995Q2,bottom50,1342368.0,761994.0,174953.0
1995Q2,middle40,4147407.0,6517344.0,1259759.0
1995Q2,top10,3018533.0,13755779.0,1882535.0
1995Q3,bottom50,1415165.0,783037.0,174839.0
1995Q3,middle40,4070592.0,6662743.0,1254956.0
1995Q3,top10,2927381.0,14184491.0,1897451.0
1995Q4,bottom50,1404646.0,803240.0,178249.0
1995Q4,middle40,4107250.0,6848331.0,1281492.0
1995Q4,top10,2977352.0,14652483.0,1912857.0
1996Q1,bottom50,1385371.0,821525.0,184239.0
1996Q1,middle40,4162734.0,7005116.0,1325339.0
1996Q1,top10,3042557.0,14918950.0,1972335.0
1996Q2,bottom50,1391767.0,835379.0,185511.0
1996Q2,middle40,4236368.0,7137065.0,1337701.0
1996Q2,top10,3072673.0,15196485.0,1942816.0
1996Q3,bottom50,1399392.0,849346.0,188613.0
1996Q3,middle40,4281669.0,7252713.0,1363185.0
1996Q3,top10,3127031.0,15314643.0,1954369.0
1996Q4,bottom50,1387128.0,872765.0,190611.0
1996Q4,middle40,4280200.0,7453640.0,1382768.0
1996Q4,top10,3221777.0,15744280.0,1962226.0
1997Q1,bottom50,1377293.0,882031.0,193316.0
1997Q1,middle40,4300329.0,7530719.0,1407476.0
1997Q1,top10,3285967.0,15814061.0,1985218.0
1997Q2,bottom50,1396956.0,914031.0,195713.0
1997Q2,middle40,4373308.0,7827704.0,1428164.0
1997Q2,top10,3324904.0,16761337.0,1970896.0
1997Q3,bottom50,1422204.0,940804.0,199102.0
1997Q3,middle40,4422095.0,8075721.0,1457020.0
1997Q3,top10,3369020.0,17419161.0,1992259.0
1997Q4,bottom50,1398535.0,952818.0,203485.0
1997Q4,middle40,4443200.0,8202302.0,1492334.0
1997Q4,top10,3488555.0,17753134.0,2024887.0
1998Q1,bottom50,1417745.0,986523.0,205124.0
1998Q1,middle40,4520450.0,8535227.0,1512458.0
1998Q1,top10,3561475.0,18850844.0,2053682.0
1998Q2,bottom50,1428223.0,996974.0,206220.0
1998Q2,middle40,4637226.0,8676780.0,1527511.0
1998Q2,top10,3672597.0,19251262.0,2044783.0
1998Q3,bottom50,1520792.0,982658.0,208501.0
1998Q3,middle40,4746546.0,8581059.0,1552250.0
1998Q3,top10,3701919.0,18590396.0,2087758.0
1998Q4,bottom50,1510851.0,1022522.0,217031.0
1998Q4,middle40,4786935.0,9015388.0,1595349.0
1998Q4,top10,3895024.0,20011330.0,2203139.0
1999Q1,bottom50,1570685.0,1025376.0,217747.0
1999Q1,middle40,4845625.0,9147208.0,1590994.0
1999Q1,top10,3973026.0,20052415.0,2246131.0
1999Q2,bottom50,1578028.0,1037225.0,216542.0
1999Q2,middle40,4963987.0,9366797.0,1571540.0
1999Q2,top10,4121470.0,20733902.0,2215719.0
