"Description:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
"All domestic sectors; total financial assets","Currency","1000000","USD",Z1/Z1/FA884090005.Q,FA884090005.Q,11666187,9294578,9313531,10787504,17527010
"Nonfinancial business; total financial assets","Currency","1000000","USD",Z1/Z1/FA144090005.Q,FA144090005.Q,1513140,1585149,1189746,3878538,4941751
"Domestic financial sectors; total financial assets","Currency","1000000","USD",Z1/Z1/FA794090005.Q,FA794090005.Q,8097249,5505275,3392328,5406888,9138017
"Central bank, private depository institutions, and money market funds; total financial assets","Currency","1000000","USD",Z1/Z1/FA844090005.Q,FA844090005.Q,3251581,1420893,1301590,2342100,3885175
"Central bank; total financial assets","Currency","1000000","USD",Z1/Z1/FA714090005.Q,FA714090005.Q,-514192,-210800,-309620,192004,138924
"Private depository institutions and money market funds; total financial assets","Currency","1000000","USD",Z1/Z1/FA784090005.Q,FA784090005.Q,3765773,1631693,1611210,2150096,3746251
"Private depository institutions; total financial assets","Currency","1000000","USD",Z1/Z1/FA704090005.Q,FA704090005.Q,2839201,1172549,630223,728579,3039168
"Money market funds; total financial assets","Currency","1000000","USD",Z1/Z1/FA634090005.Q,FA634090005.Q,926572,459144,980987,1421517,707083
"Non-MMF investment funds; total financial assets","Currency","1000000","USD",Z1/Z1/FA694090005.Q,FA694090005.Q,865676,536976,45428,1717108,1669292
"Other financial intermediaries except insurance companies and pension funds; total financial assets","Currency","1000000","USD",Z1/Z1/FA804090005.Q,FA804090005.Q,3525839,2641266,1127875,1008288,2941829
"Other financial intermediaries except insurance companies, pension funds, financial auxiliaries and captive financial institutions and money lenders; total financial assets","Currency","1000000","USD",Z1/Z1/FA604090005.Q,FA604090005.Q,2598408,2007272,1020443,760971,2482833
"Captive financial institutions and money lenders; total financial assets","Currency","1000000","USD",Z1/Z1/FA774090005.Q,FA774090005.Q,927431,633994,107432,247318,458996
"Insurance companies and pension funds; total financial assets","Currency","1000000","USD",Z1/Z1/FA584090005.Q,FA584090005.Q,454153,906140,917435,339392,641720
"Insurance companies; total financial assets","Currency","1000000","USD",Z1/Z1/FA524090005.Q,FA524090005.Q,209748,584836,651355,-5719,368911
"Pension funds; total financial assets","Currency","1000000","USD",Z1/Z1/FA594090005.Q,FA594090005.Q,244405,321304,266080,345111,272809
"General government; total financial assets","Currency","1000000","USD",Z1/Z1/FA364090005.Q,FA364090005.Q,-894528,383701,2165312,400542,621181
