"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1945Q4,1946Q4,1947Q4,1948Q4,1949Q4,1950Q4,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
"Households; total assets","Currency","1000000","USD",Z1/Z1/FL192000005.Q,FL192000005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20122527,20648980,21142895,21527899,22078128,22522624,22986014,23592764,24045526,24158378,24507700,24443744,24947290,25444478,25580013,25953509,26621070,26651178,26813071,27259113,27930024,28255902,28601650,29098144,29624742,29785625,30054437,30503018,30824960,31375957,32027756,32548432,33322609,33898695,34448553,34829970,35587718,35847443,37265206,38338999,38956503,40612324,41430769,40920099,43075813,43475606,44706254,44772235,47393843,48580625,48712084,49445344,49015129,48903908,50349346,49578670,51217838,51975470,51590416,50700983,51793210,52154377,54357788,55498045,57560914,60129177,61216772,62619272,65136850,66176874,67962930,69884414,71500444,73674847,74166103,75478472,77094460,78124289,79021392,80016870,79443534,77642009,76544286,74409356,71152393,69301989,69932414,71655281,71840525,72874250,72123379,74047225,75657856,76667713,77041564,75183712,76493574,78331997,78364561,80162163,81030018,83716161,84803035,87195546,89466373,91151944,93268050,93852072,95335457,96822846,97716104,96880863,98360995,99501113,101185624,102904606,103598188,105970578,108015474,109793834,112409417,113503849,114864456,117064998,112848110,118068067,120895043,121450859,124414467,118461653,125928314,130772455,139069359,144745674,152763651,156384743,160723945,161661457,156189763,152876302,154077189,157683205,163527710,162580861,167108331,172756658,175799806,180019470,180640607,180547481,186963091,192082937,193966862,194005813
"Households; nonfinancial assets","Currency","1000000","USD",Z1/Z1/LM192010005.Q,LM192010005.Q,170048,195182,250829,282399,308317,350795,390885,396380,407551,411823,421752,430578,439177,449736,450180,454964,457800,466725,476272,482365,493911,506964,515482,525519,535723,545699,553335,563338,573879,581761,585659,586718,591791,601682,611043,614608,626062,635984,643863,657257,662970,670085,672316,669901,680626,690747,699429,707811,713551,719476,727871,736284,739335,751328,758092,761622,775520,783012,795228,804682,811277,818410,833461,836927,868691,875361,898496,904473,917491,934113,957611,984887,1007285,1026426,1070223,1098947,1120983,1136122,1162152,1168504,1200813,1204972,1228726,1259936,1288462,1312942,1335131,1381929,1406637,1450112,1508132,1546521,1599032,1661934,1705442,1699508,1707240,1735561,1786812,1858020,1927179,1937324,1991654,2036401,2114792,2160004,2225498,2302323,2406930,2493620,2591922,2677331,2795236,2899539,3005975,3145935,3285442,3396505,3498847,3637836,3735714,3868441,3934030,3984556,4174264,4291296,4353739,4453113,4487984,4502913,4549797,4617933,4680653,4746475,4814558,5011026,5177625,5333490,5478973,5644604,5833756,6035002,6228969,6358370,6535188,6724538,6893303,7061615,7241237,7417044,7538819,7707635,7932298,8098041,8248452,8398344,8559084,8789349,8919900,8979967,9077549,9178880,9185438,9215187,9286509,9373865,9448032,9526750,9601275,9735712,9845671,9876719,10016533,10162087,10308990,10408527,10550077,10690155,10785933,10875899,10992640,10918161,11018554,11153105,11279624,11413268,11517034,11620632,11762134,11903313,12048250,12239731,12505753,12765986,13026572,13250607,13568329,13903872,14187098,14638517,15144287,15589519,16035852,16784483,17204159,17614658,18014751,18426115,18825619,19239793,19641983,20040855,20481998,20942722,21420306,22171758,22840712,23600936,24365750,25089176,25852656,26669949,27397934,27535445,27963725,28288001,28409426,28209932,28147389,28002770,27718801,27081555,26548286,26019145,25461872,24919369,24493301,24168673,23977400,23865329,23765557,23610955,23356645,23058225,22988138,22922065,22770622,22615822,22810965,23060390,23261317,23695664,24196497,24719529,25065120,25360124,25803865,26229231,26497478,26845003,27351640,27818188,28170936,28498640,29087746,29613826,30039604,30504022,31045203,31562029,32014172,32698286,33143095,33618641,33222450,33227897,34288656,34353801,34243187,35219750,35763270,37105773,38309422,40061061,43329828,45280972,46183913,49243432,51673456,50492949,49595167,49944892,52541934,53031943,52653120,53807037,55566431,55328889,55042174,55734398,57057651,56802272,56567201,57623144
"Households; owner-occupied real estate including vacant land and mobile homes at market value","Currency","1000000","USD",Z1/Z1/LM155035015.Q,LM155035015.Q,116049,133422,177473,199326,216535,243315,270874,273170,283505,284584,294752,300182,306680,316348,315055,316592,320732,329781,337554,341601,350860,360688,367383,375328,383760,390218,394263,401222,408017,414670,417162,414465,419841,429327,438440,438052,447672,456362,463647,475580,479638,485654,486897,484488,494136,502979,511054,518133,522112,525874,533162,539625,540004,549322,553248,553844,565045,569664,579830,585435,589142,593543,605593,604127,630518,631432,648979,651709,659242,668871,685689,706181,721691,732574,768164,789668,804195,812973,832441,834315,861308,859007,874469,896384,917847,938482,957235,994999,1011650,1046653,1098624,1125134,1164853,1216897,1251410,1234864,1224908,1228579,1261141,1320641,1376129,1374568,1413658,1444386,1510149,1541764,1589977,1650002,1740633,1809353,1886806,1953165,2047892,2129042,2210877,2324853,2438382,2527395,2603271,2709296,2784958,2898047,2943161,2976773,3145246,3243369,3292960,3379724,3402543,3409839,3447373,3500620,3548174,3594626,3639466,3815839,3953991,4087621,4209390,4345136,4508123,4684390,4851839,4956078,5099152,5241843,5370919,5507465,5652809,5791918,5886157,6027537,6213264,6339667,6448126,6562274,6695064,6893169,6994317,7012984,7085162,7162726,7146396,7147403,7202811,7270390,7330585,7394546,7448054,7563988,7652203,7670105,7780087,7896020,8006742,8082369,8190463,8293641,8361797,8415203,8508308,8413137,8489248,8590662,8700808,8808093,8889105,8963588,9095169,9213319,9330289,9499670,9738045,9969257,10192809,10389337,10663484,10953170,11196005,11590598,12039579,12441344,12834096,13537735,13925364,14303298,14650451,15027821,15382630,15749009,16115799,16491272,16895940,17311879,17742705,18433992,19045598,19773076,20467531,21134037,21834296,22612034,23291664,23374634,23754495,24029723,24111167,23865300,23755768,23574828,23244012,22558177,21999544,21441412,20895625,20367313,19944786,19637406,19417267,19314526,19234646,19090590,18821143,18489962,18379064,18291436,18125968,17936907,18122001,18359783,18533877,18942574,19439677,19953067,20287786,20581056,21006321,21395703,21645718,21972663,22416554,22854492,23180311,23461397,23996022,24502635,24902876,25318820,25839134,26345876,26746536,27369406,27762195,28200924,27750845,27679965,28702059,28729078,28571844,29510214,30062654,31236141,32287148,33905843,36836867,38543793,39187957,41965597,44259458,42921457,41955852,42209545,44714088,45200568,44796549,45871478,47598362,47315508,46930984,47493275,48640714,48268284,47913423,48723342
"Households and nonprofit organizations; consumer durable goods, current cost basis","Currency","1000000","USD",Z1/Z1/LM155111005.Q,LM155111005.Q,53999,61760,73356,83073,91782,107480,120011,123210,124046,127239,127000,130396,132497,133388,135125,138372,137068,136944,138718,140764,143051,146276,148099,150191,151963,155481,159072,162116,165862,167091,168497,172253,171950,172355,172603,176556,178390,179622,180216,181677,183332,184431,185419,185413,186490,187768,188375,189678,191439,193602,194709,196659,199331,202006,204844,207778,210475,213348,215398,219247,222135,224867,227868,232800,238173,243929,249517,252764,258249,265242,271922,278706,285594,293852,302059,309279,316788,323149,329711,334189,339505,345965,354257,363552,370615,374460,377896,386930,394987,403459,409508,421387,434179,445037,454032,464644,482332,506982,525671,537379,551050,562756,577996,592015,604643,618240,635521,652321,666297,684267,705116,724166,747344,770497,795098,821082,847060,869110,895576,928540,950756,970394,990869,1007783,1029018,1047927,1060779,1073389,1085441,1093074,1102424,1117313,1132479,1151849,1175092,1195187,1223634,1245869,1269583,1299468,1325633,1350612,1377130,1402292,1436036,1482695,1522384,1554150,1588428,1625126,1652662,1680098,1719034,1758374,1800326,1836070,1864020,1896180,1925583,1966983,1992387,2016154,2039042,2067784,2083698,2103475,2117447,2132204,2153221,2171724,2193468,2206614,2236446,2266067,2302248,2326158,2359614,2396514,2424136,2460696,2484332,2505024,2529306,2562443,2578816,2605175,2627929,2657044,2666965,2689994,2717961,2740061,2767708,2796729,2833763,2861270,2904845,2950702,2991093,3047919,3104708,3148175,3201756,3246748,3278795,3311360,3364300,3398294,3442989,3490784,3526184,3549583,3586058,3630843,3677601,3737766,3795114,3827860,3898219,3955139,4018360,4057915,4106270,4160811,4209230,4258278,4298259,4344632,4391621,4427942,4474789,4523378,4548742,4577733,4566247,4552056,4548515,4531267,4560133,4550803,4530911,4520365,4535502,4568263,4609074,4630629,4644654,4678915,4688964,4700607,4727440,4753090,4756820,4766462,4777334,4779068,4797544,4833528,4851760,4872340,4935086,4963696,4990625,5037243,5091724,5111191,5136728,5185202,5206069,5216153,5267636,5328880,5380900,5417717,5471605,5547932,5586597,5624723,5671343,5709536,5700616,5869632,6022274,6155218,6492961,6737179,6995956,7277835,7413998,7571492,7639315,7735347,7827846,7831375,7856571,7935559,7968069,8013381,8111190,8241123,8416937,8533988,8653778,8899802
"Households; total financial assets ","Currency","1000000","USD",Z1/Z1/FL194090005.Q,FL194090005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12583708,12941345,13210597,13429858,13829676,14124280,14426930,14803415,15125626,15178411,15430151,15264864,15761852,16229291,16293504,16579644,17173038,17124428,17211796,17523401,18084353,18379183,18585117,18936057,19315752,19377098,19504360,19812863,20039027,20500058,21035116,21630271,22304055,22745590,23168929,23416702,24070684,24226811,25503072,26435686,26908253,28372593,28925016,28154113,30049241,30224999,31137925,30868363,33206745,33942108,33567797,33855825,32979277,32119425,33145187,31964012,33203087,33549355,32764797,31461190,32151227,32113522,33875790,34555323,36140608,37957419,38376060,39018336,40771100,41087698,42110274,43214465,44102510,46139402,46202378,47190471,48685034,49914357,50874003,52014100,51724733,50560454,49996000,48390211,45690521,44382620,45439113,47486608,47863125,49008921,48357822,50436270,52301211,53609488,54053426,52261647,53722952,55716175,55553596,57101773,57768701,60020497,60606538,62476017,64401253,65791820,67464185,67622841,68837979,69977843,70364464,69062675,70190059,71002473,72097878,73290780,73558584,75466556,76970271,78231805,80395245,80805563,81721361,83446357,79625660,84840170,86606387,87097058,90171280,83241903,90165044,93666682,100759937,104684613,109433823,111103771,114540032,112418025,104516307,102383353,104482022,107738313,110985776,109548918,114455211,118949621,120233375,124690581,125598433,124813083,129905440,135280665,137399661,136382669
"Households; checkable deposits and currency; asset","Currency","1000000","USD",Z1/Z1/FL193020005.Q,FL193020005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434694,425791,430211,428884,443984,424680,420681,418164,435594,420762,429266,428603,445115,455071,456028,460310,488439,501359,509046,532258,595321,571289,590714,615608,647392,623412,612984,602100,616482,595721,599759,565309,567273,552781,533965,516111,506011,478443,472892,438494,467145,431496,435918,424494,482701,470222,441414,424937,459010,422220,384319,345055,352929,374068,349119,345790,423331,362044,354317,354866,396956,388433,395810,354706,383910,368657,343928,327077,379688,373144,332704,273702,285238,281463,261444,223603,243242,254479,176515,80462,128423,140389,127337,145289,405938,384098,428124,394088,446039,344917,360508,325622,427320,507149,499605,629515,709244,730084,683397,681161,811192,854832,875172,883032,990499,1016756,1025384,996538,949319,1038484,1107711,970039,1051812,1132436,1088259,972397,970956,1150578,1142752,1057809,1170910,1264122,1126005,941760,999725,1069495,939859,730118,978396,1072810,1482307,1694441,2907895,3261364,3576028,3642229,3848183,4089672,4417902,4567112,4285263,4327435,4271184,4042612,4120617,4458114,4221213,4169869,4303106,4525038,4545701,4506056,5351655,5617814
"Households; other deposits including time and savings deposits; asset (IMA)","Currency","1000000","USD",Z1/Z1/FL193030205.Q,FL193030205.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2286721,2355376,2396397,2444270,2487481,2514254,2512024,2538304,2564454,2579709,2574695,2589174,2613914,2614149,2563990,2541772,2523808,2372010,2337700,2309292,2278708,2232613,2207383,2189473,2148723,2148886,2116512,2133784,2120252,2167742,2206316,2237971,2255583,2327613,2341528,2378334,2388030,2425328,2447838,2507879,2521387,2547778,2536675,2548351,2599224,2593644,2590961,2633634,2680694,2763172,2802423,2844956,2930329,3096119,3153268,3214515,3218948,3377260,3389053,3504240,3507317,3691484,3761669,3810141,3839229,3992328,4094283,4143603,4220438,4352058,4455187,4617360,4678571,4900291,4975891,5093822,5158783,5359834,5428167,5573494,5712884,5900985,5784091,5921117,5922012,5869859,5810344,5818932,5982708,6045754,5996370,6105315,5967455,6074163,6219864,6244533,6325165,6382387,6424607,6442934,6550216,6562584,6603013,6694777,6664735,6852570,6915251,7052770,7198741,7427941,7426822,7608511,7761020,7940923,7979585,8322954,8463486,8526462,8440917,8567979,8593402,8800317,8864290,8909859,9027263,9188970,9179235,9374811,9544851,9890562,10401866,10479338,9982009,10492978,10285546,10405326,10730925,10813233,10373263,10025173,9974092,9584633,9471600,9529281,9517492,9426180,9358631,9416287,9480329,9490936,9465378,9567131,8780248,8834692
"Households; debt securities; asset","Currency","1000000","USD",Z1/Z1/LM194022005.Q,LM194022005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833238,828512,852741,895342,978277,1004208,1026053,1046479,1057939,1049265,1083821,1120473,1187365,1148514,1182904,1203261,1212829,1243714,1224867,1240555,1244003,1260556,1241515,1232107,1283803,1357053,1442035,1462446,1603739,1570276,1547817,1568990,1623741,1585809,1659750,1666850,1693446,1550459,1558852,1568524,1602061,1597816,1713737,1794273,1710840,1675601,1585498,1537528,1374299,1233842,1204533,1172462,1280742,1203591,1128371,1249950,1157508,1107303,1228187,1260933,1343483,1264075,1179573,1157358,1280845,2076397,1887849,2030564,2159801,2094833,2218467,1992456,2102484,2190487,2154449,2117763,1953679,2039344,1948478,2403073,2443339,2501279,2637341,2877663,3205503,3480391,3081406,3258091,3093354,3347780,3529476,3451708,3505105,3437458,3564698,3932223,3931579,3837670,4042758,4138071,4022432,3805935,3315589,3194528,3054056,3067923,3131215,3153521,3108764,3136130,3025800,3378508,3160617,3283533,3372760,3210239,3046234,3025342,3117930,3015653,3042284,3105795,3241954,3452902,3669145,3865876,4115317,4154522,4038012,3958566,3583278,3412893,3442325,2780704,2701835,2799898,2454100,2568365,2821619,3360224,4216029,4808007,4849083,4939363,5276865,5181454,5357405,5618547,5546066,5650519,5759360,5858481,5929319,5863594
"Households; total U.S. government securities and municipal securities; asset","Currency","1000000","USD",Z1/Z1/LM193061005.Q,LM193061005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709674,703253,732800,780028,839701,835608,855886,873923,878796,875107,903489,939916,978269,927669,951587,985800,997620,1019418,997528,1023904,1020688,997806,955773,916587,919747,973081,1037824,1047395,1153501,1104042,1091182,1082774,1083100,1034232,1083516,1112746,1144369,1075405,1065962,1050496,1105513,1057623,1109018,1208288,1196619,1118254,1059982,1029712,1077336,993607,941937,903559,974619,809891,727753,863956,770838,741039,755733,713917,662231,632259,571766,642953,706639,1467902,1318169,1417981,1689928,1608176,1704575,1601730,1629094,1724587,1597026,1623493,1477616,1525394,1512526,1709564,1721537,1752251,1915826,2081888,2384100,2489700,2089834,2345029,2303222,2445651,2695290,2796982,2548266,2565366,2548412,2815100,2811233,2636005,2906614,2842728,2894781,2795382,2572679,2523644,2381465,2402984,2370696,2392933,2387942,2514484,2525046,2883101,2943023,3086213,3238904,3169161,3046234,3025342,3117930,3015653,3042284,3105795,3241954,3452902,3669145,3865876,4115317,4154522,4038012,3946881,3450159,3412893,3442325,2780704,2624560,2642905,2453363,2568365,2821619,3360224,4216029,4808007,4849083,4939363,5276865,5181454,5357405,5618547,5546066,5650519,5759360,5858481,5929319,5863594
"Households; corporate and foreign bonds; asset","Currency","1000000","USD",Z1/Z1/LM193063005.Q,LM193063005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123564,125259,119941,115314,138576,168600,170167,172556,179143,174158,180332,180557,209096,220845,231317,217461,215209,224296,227339,216651,223315,262750,285742,315520,364056,383972,404211,415051,450238,466234,456635,486216,540641,551577,576234,554104,549077,475054,492890,518028,496548,540193,604719,585985,514221,557347,525516,507816,296963,240235,262596,268903,306123,393700,400618,385994,386670,366264,472454,547016,681252,631816,607807,514405,574206,608495,569680,612583,469873,486657,513892,390726,473390,465900,557423,494270,476063,513950,435952,693509,721802,749028,721515,795775,821403,990691,991572,913062,790132,902129,834186,654726,956839,872092,1016286,1117123,1120346,1201665,1136144,1295343,1127651,1010553,742910,670884,672591,664939,760519,760588,720822,621646,500754,495407,217594,197320,133856,41078,0,0,0,0,0,0,0,0,0,0,0,0,0,11685,133119,0,0,0,77275,156993,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
