"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1945Q4,1946Q4,1947Q4,1948Q4,1949Q4,1950Q4,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
"Households and nonprofit organizations; total assets","Currency","1000000","USD",Z1/Z1/FL152000005.Q,FL152000005.Q,837200,922657,1030667,1092128,1142486,1248246,1366090,1385094,1411929,1427783,1436132,1448829,1455555,1472672,1496856,1519504,1545012,1584701,1607212,1632189,1674424,1719116,1745160,1790019,1805577,1827461,1870250,1884573,1926835,1928251,1948078,1980597,2011466,2069235,2105227,2128286,2163094,2182385,2222783,2231935,2256824,2256755,2315601,2366910,2395773,2436484,2499627,2514005,2426157,2471820,2584247,2621874,2663708,2713000,2716669,2767488,2821452,2874619,2927551,2975323,2982011,3066643,3155924,3166215,3208151,3183356,3278452,3384891,3433387,3526004,3614917,3629486,3780540,3849846,4031834,4048863,4067873,4095198,4124085,4144665,4087695,4222324,4354327,4520652,4608501,4681386,4818473,4984763,5069698,5210151,5475169,5512850,5571543,5773154,5752964,5787999,5791549,5769846,5921639,6174196,6421489,6437033,6627656,6837420,7040830,7181765,7377973,7503834,7721846,7899404,8094419,8290585,8587671,8881371,9105801,9448538,9771889,10101617,10417567,10651022,11015422,11442562,11806335,12009710,12333086,12469682,12814949,12966703,13130392,13359070,13713199,14047304,14395172,14611446,14774639,15066020,15362364,15753985,16110967,16587056,17002576,17300331,17917930,18445026,18887772,19157429,19812864,20441673,20822113,21311983,21313576,21863349,22378827,22779318,23345033,23819374,24335284,24959582,25440955,25549893,25914678,25843728,26365928,26894712,27044601,27425232,28082246,28110646,28272859,28723882,29396895,29740507,30098028,30616776,31162501,31343264,31639482,32123722,32470469,33067564,33765327,34337982,35156555,35779816,36371130,36788576,37626019,37971699,39464335,40618186,41344543,43043455,43901630,43363671,45580533,45980908,47267121,47400925,50113435,51281558,51486678,52315755,51907009,51765028,53252272,52464747,54084444,54896757,54499499,53616078,54791207,55244937,57527065,58696597,60856978,63550019,64756375,66286823,68877549,70005478,71873087,73921667,75630725,78012905,78642011,80092467,81866249,82965191,83968674,85027483,84426387,82360854,81211611,78955323,75516223,73572051,73950382,75689916,75825204,76962105,76353453,78329821,80032985,81090901,81448410,79570478,81013764,82918279,82995038,84899401,85901838,88689180,89967357,92560134,94949271,96640304,98900144,99578123,101221373,102827053,103806882,102964407,104445187,105596071,107438603,109329182,110107097,112516911,114866884,116678391,119458641,120572068,121937789,124180224,119875965,125350404,128449176,129133434,132199662,126396090,134030372,139130911,147749279,153534082,161782352,165744721,170307266,171217715,165744637,162459883,163634528,167325553,173364055,172394313,176785749,182469046,185616241,189900811,190620928,190482710,196975281,202414065,204373493,204539939
"Households and nonprofit organizations; nonfinancial assets","Currency","1000000","USD",Z1/Z1/FL152010005.Q,FL152010005.Q,189327,220716,280815,313686,340071,387297,430932,437115,448848,453488,463998,472950,481976,493036,493418,498301,501395,510860,520894,527830,540617,555200,565453,577329,588163,599569,608073,619052,630622,639377,643776,644343,650043,660430,670313,674223,686600,697397,706020,720531,726936,734741,737552,736009,748133,759552,769614,779404,786518,793692,803569,813441,817641,830885,839163,843874,860173,869241,884104,895205,903703,912541,930933,935818,971316,979816,1005985,1013799,1028915,1047817,1074444,1104944,1130409,1152240,1200814,1233241,1259294,1278066,1308558,1318182,1356658,1362718,1390677,1426998,1460893,1490696,1517841,1570853,1600621,1649560,1714199,1758656,1819083,1891184,1943148,1944362,1962169,2002021,2064417,2142403,2216133,2228768,2286518,2335041,2420317,2471455,2543119,2630011,2742979,2839343,2947334,3042463,3172605,3288652,3407984,3561950,3717513,3845262,3961948,4113142,4223728,4369625,4451130,4514682,4715758,4842006,4916768,5030489,5075194,5096982,5148139,5221901,5290283,5365336,5444411,5648683,5826507,5993672,6150304,6324809,6521392,6732066,6937161,7076987,7264499,7464725,7644160,7820609,8009484,8195217,8330141,8514062,8751511,8929484,9094409,9256889,9431993,9674610,9817681,9869598,9968788,10074386,10083770,10111638,10181563,10251937,10308657,10376685,10441606,10565839,10665051,10695116,10834811,10984914,11136594,11248794,11403891,11554846,11662709,11759561,11881625,11818658,11929586,12072254,12204042,12340969,12485007,12648881,12804605,12977808,13201837,13418950,13732864,14006843,14293333,14491820,14829136,15231603,15542401,15955732,16537262,17067084,17550710,18300878,18748661,19181930,19539098,19996532,20403325,20849883,21311277,21773567,22221213,22668114,23178276,24023201,24785580,25653970,26439541,27241011,28061154,28976263,29772990,29983516,30504157,30893902,31094966,30958707,30983141,30895027,30597862,29790997,29287663,28726818,28106387,27445907,26706796,26335383,26047360,25993180,26021850,25869439,25659966,25402066,25318700,25266739,25230781,25076736,25286429,25592719,25843224,26307355,26938543,27599012,27974898,28243748,28803226,29295426,29662051,30129735,30732482,31226033,31565889,31854364,32555794,33208613,33674239,34101140,34867915,35344230,35877897,36627180,37096702,37620193,37221646,37340995,38566128,38653327,38516367,39580990,40058740,41470622,42799612,44604982,48028562,50287295,51332303,54383340,56890890,55753863,54785935,55141550,57847877,58291907,57666475,58761679,60564819,60315570,60076307,60707431,62001219,61968128,61755054,62934730
"Households and nonprofit organizations; total financial assets ","Currency","1000000","USD",Z1/Z1/FL154090005.Q,FL154090005.Q,647873,701941,749852,778442,802415,860949,935158,947979,963081,974295,972134,975879,973579,979636,1003438,1021203,1043617,1073841,1086318,1104359,1133807,1163916,1179707,1212690,1217414,1227892,1262177,1265521,1296213,1288874,1304302,1336254,1361423,1408805,1434914,1454063,1476494,1484988,1516763,1511404,1529888,1522014,1578049,1630901,1647640,1676932,1730013,1734601,1639639,1678128,1780678,1808433,1846067,1882115,1877506,1923614,1961279,2005378,2043447,2080118,2078308,2154102,2224991,2230397,2236835,2203540,2272467,2371092,2404472,2478187,2540473,2524542,2650131,2697606,2831020,2815622,2808579,2817132,2815527,2826483,2731037,2859606,2963650,3093654,3147608,3190690,3300632,3413910,3469077,3560591,3760970,3754194,3752460,3881970,3809816,3843637,3829380,3767825,3857222,4031793,4205356,4208265,4341138,4502379,4620513,4710310,4834854,4873823,4978867,5060061,5147085,5248122,5415066,5592719,5697817,5886588,6054376,6256355,6455619,6537880,6791694,7072937,7355205,7495028,7617328,7627676,7898181,7936214,8055198,8262088,8565060,8825403,9104889,9246110,9330228,9417337,9535857,9760313,9960663,10262247,10481184,10568265,10980769,11368039,11623273,11692704,12168704,12621064,12812629,13116766,12983435,13349287,13627316,13849834,14250624,14562485,14903291,15284972,15623274,15680295,15945890,15769342,16282158,16783074,16863038,17173295,17773589,17733961,17831253,18158043,18731844,19045391,19263217,19631862,20025907,20094470,20235591,20568876,20807760,21308003,21883702,22519324,23226969,23707562,24167088,24447607,25141012,25322818,26659730,27640378,28142706,29624505,30168766,29356828,31287200,31489088,32437985,32169322,34571034,35325826,34949416,35248671,34356299,33464150,34503611,33282817,34545346,34900225,34096174,32766195,33479930,33471370,35305852,36028483,37678702,39526818,39970795,40632853,42438008,42764467,43811933,44945404,45857735,48029389,48137854,49198565,50771283,52006484,52985533,54132456,53828525,52569857,51923948,50228505,47409836,46126144,47243586,49354533,49777844,50968925,50331603,52460382,54373019,55688835,56129710,54303739,55782983,57841543,57708609,59306682,60058614,62381825,63028814,64961122,66974373,68396556,70096918,70282697,71559322,72697318,73074400,71738374,72879298,73741707,74882809,76120569,76432858,78415771,79998969,81334161,83580744,83944888,84841087,86560031,82654319,88009409,89883048,90480107,93683295,86815100,93971632,97660289,104949667,108929100,113753790,115457426,118974963,116834375,108853747,106706020,108848593,112184003,115516178,114102406,119119274,123707367,125051422,129585241,130544621,129775279,134974062,140445937,142618439,141605209
"Households and nonprofit organizations; total currency and deposits; asset","Currency","1000000","USD",Z1/Z1/FL154000005.Q,FL154000005.Q,108693,120598,124089,123835,124510,129169,138346,138706,139181,143473,147805,150416,149761,153908,157133,157516,159413,165202,168284,170023,170134,175011,177800,179208,180728,184955,188841,190956,192241,196665,199551,202912,203410,211774,216184,218265,221237,227012,229104,229259,231115,237823,242843,245986,249689,255219,260491,265056,269768,277439,286577,294687,300792,308199,317421,320509,328292,338661,346262,351644,358175,369738,380386,384390,388647,393521,400623,410212,421877,433295,445900,450725,458177,470260,484971,482576,488918,486112,492052,489065,503472,525253,541812,565757,586950,602006,622731,641738,660025,683906,708033,729042,746664,760116,778900,796557,812680,821374,840529,855969,884517,901957,924051,948116,977145,999263,1026552,1061620,1085378,1118879,1142911,1172027,1197852,1228961,1250287,1266158,1289354,1323380,1336486,1351848,1375253,1425264,1478236,1484310,1513084,1548157,1621645,1663783,1706113,1742196,1817986,1897446,1949326,2005192,2050786,2099798,2176437,2226469,2309314,2347103,2384073,2425103,2447983,2483776,2533275,2586779,2687903,2664479,2710000,2754913,2825409,2882082,2924236,2967477,3022972,3030840,3025638,3050454,3094683,3096358,3100713,3115284,3158070,3170937,3125582,3111435,3124719,2986258,2960215,2955494,2988527,2920410,2916790,2925916,2918944,2896556,2855382,2863271,2865504,2893099,2936427,2934500,2954751,3014964,3013479,3035365,3044308,3057688,3079103,3108571,3154663,3146201,3140935,3141483,3250881,3235357,3208007,3237353,3320683,3369208,3374963,3381242,3476855,3664976,3700696,3761006,3845270,3945643,3953314,4072343,4118985,4298160,4378968,4390029,4451842,4594247,4676088,4713156,4846242,4976249,5043472,5150182,5225114,5452820,5517246,5605494,5697567,5913756,5907586,5955996,6143268,6339409,6213868,6371144,6627625,6555277,6544364,6524962,6744367,6713519,6683769,6758546,6722580,6912493,7053149,7210576,7371074,7457692,7460800,7482209,7722733,7784798,7849733,7951495,8032471,8251999,8328317,8439385,8537687,8859658,8929917,8974388,9207053,9470456,9469947,9701152,9842322,10096556,10013682,10061814,10206958,10509237,10434752,10295176,10465705,10729259,10619281,10631079,11076823,11519737,12455888,12777552,13520963,14392752,14511677,14710668,15248905,15573979,15460507,15257700,14914995,14568359,14408995,14247681,14324800,14575109,14273452,14275843,14465720,14709359,14718126,14786949,14849584,15177397
"Households and nonprofit organizations; money market fund shares; asset","Currency","1000000","USD",Z1/Z1/FL153034005.Q,FL153034005.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,570,1386,2379,3620,3661,3708,3645,3557,3341,3322,3099,2939,3017,2956,3197,4734,6050,7215,8928,15693,22681,29822,39459,54525,69928,70003,64366,98522,108564,137398,154610,164885,175381,201364,186712,164329,150654,150913,149944,163904,166718,167650,194318,201589,207124,203542,206063,223253,234247,250254,246652,258846,256795,262175,272141,296133,278076,275807,285064,310778,332092,364163,378599,405408,390937,413995,420793,468104,446878,442742,445494,467341,448536,439888,424952,433407,424119,420899,430286,443819,437726,447532,468051,488421,517225,530516,556982,609954,599424,621546,652572,693981,685712,714233,744849,806597,821838,894009,954349,1012262,991575,1024374,1120484,1186131,1158353,1207534,1295928,1429578,1426440,1492368,1567428,1536693,1485486,1457111,1530305,1482264,1451615,1401333,1364121,1323820,1280612,1238347,1240100,1197229,1173209,1190848,1261824,1263564,1302150,1369575,1465930,1516991,1579703,1794804,1967809,2187063,2113556,2113460,2358434,2330501,2209807,2046688,1962281,1753725,1649489,1645704,1790015,1738512,1712377,1684238,1711674,1648008,1598534,1645634,1749274,1672981,1637997,1665839,1680271,1676708,1615152,1647053,1676780,1642116,1621363,1690340,1723637,1700819,1632907,1600035,1580196,1535523,1516014,1576512,1653051,1621841,1659153,1657997,1826258,1946472,1907539,2149799,2271791,2735697,2952335,2790277,2696600,2788216,2774432,2710368,2805942,2778899,2839468,2930251,3097217,3445483,3641298,3840490,4030555,4103739,4190850,4396625,4707193,4793740,4843143,5030185,5328951,5419131
"Households and nonprofit organizations; directly and indirectly held debt securities; asset","Currency","1000000","USD",Z1/Z1/LM154022375.Q,LM154022375.Q,36968,33482,31281,30677,29404,30094,30221,32780,35001,36733,37238,37350,41237,41625,41020,41463,40964,39990,39806,41555,43169,45344,46506,48815,50121,52124,52704,55381,56573,58986,59808,60448,58962,57572,58802,61732,62867,66127,69671,75131,76053,75561,74999,73709,73848,74494,75881,75876,75648,77076,76171,72519,71593,72275,74097,75843,76305,77377,78024,79620,79303,80999,80486,87702,89068,95020,96719,95107,90241,94279,97326,100894,101717,102684,100541,112566,110506,125839,132804,141870,135696,137160,135733,131523,128605,133240,129362,130994,128596,130266,128743,135147,136233,147424,149235,157528,157250,147842,157944,156355,156049,172332,183803,181489,185221,189893,192676,194028,191353,195190,200794,206765,210020,216610,217227,230576,247311,252111,287606,306895,313675,321615,331666,335412,341645,363540,375409,398104,417015,452641,452538,475188,509480,554433,547666,575996,632569,676793,682472,764959,795049,840990,908965,953225,991507,1018158,1082832,1143478,1194382,1237380,1231483,1225881,1256644,1302228,1385842,1414332,1454589,1490308,1504697,1507239,1556548,1594288,1688301,1692824,1755494,1810687,1883732,1894255,1915006,1970767,2004090,2084768,2104377,2142670,2229977,2255487,2323190,2343231,2443576,2432052,2425762,2477100,2571012,2544117,2631208,2656038,2700561,2567275,2612388,2679287,2753217,2786304,2930528,3023585,2939781,2915835,2849281,2794079,2627951,2489231,2451373,2442290,2555794,2524187,2479010,2597899,2527205,2513232,2672482,2763769,2866175,2834674,2837406,2807372,2955118,3734849,3557663,3751878,3905056,3834959,4008397,3813731,3942433,3992718,3970349,4007873,3912194,4052241,4004851,4515658,4624515,4691066,4865386,5023287,5218639,5562990,5363289,5786632,5745060,6159870,6483467,6578878,6643190,6526385,6686459,7012196,7207300,7315360,7633576,7899539,7870370,7734252,7081204,6894506,6741280,6798659,6977056,6999052,7033071,7153712,7023436,7345269,7101391,7335051,7586370,7527901,7237110,7328343,7560953,7602556,7713869,7808318,7989110,8253876,8339740,8716938,9200899,9418918,9439709,9001609,8962386,9067432,9297544,8672784,8758052,8946880,8697325,8453228,8227307,8491340,9366348,10099434,10190732,10161118,10734067,10776823,10968866,11507981,11332964,11587613,11752967,12025905,12201256,12180921
"Households and nonprofit organizations; debt securities; asset","Currency","1000000","USD",Z1/Z1/LM154022005.Q,LM154022005.Q,35908,32338,30079,29392,27990,28544,28451,30920,33084,34755,35169,35208,39045,39364,38681,39020,38450,37369,37084,38748,40234,42276,43368,45534,46872,48602,49060,51600,52610,54976,55721,56176,54438,52971,54143,56944,57963,61011,64358,69706,70504,69857,69154,67790,67904,68371,69387,69362,69118,70279,69232,65500,64641,65002,66655,68234,68446,69385,69875,71018,70757,72069,71438,78025,79074,84603,86024,84641,80255,84437,87305,90165,91551,92165,90473,101511,99897,114569,121674,130275,122876,124805,123668,119817,117233,122312,117695,118766,116026,116679,114853,120345,121039,131476,133185,140679,140069,129895,138999,136156,134616,149621,160264,157362,160383,164811,166903,167399,162772,164979,169259,174329,176570,183008,183302,195287,209719,212587,248667,264796,267547,273129,281524,283192,286657,306752,314754,334271,350391,383072,379590,397688,426767,467118,456251,479133,534362,569916,568191,639297,653438,684601,718248,729300,740704,736530,767431,775757,832282,881224,887336,884473,910537,955394,1040962,1071581,1099627,1125581,1141637,1135082,1171232,1208841,1277467,1241887,1279351,1303220,1316295,1348690,1332017,1349942,1355052,1374382,1357605,1351166,1405036,1478405,1563795,1584909,1726922,1700375,1685183,1712833,1774589,1738366,1814648,1824349,1853855,1718608,1736335,1755650,1798381,1785606,1893318,1966178,1873754,1844007,1759186,1717111,1559516,1425755,1403359,1379053,1495544,1421353,1347544,1472504,1381282,1326740,1445527,1477240,1557060,1480860,1400656,1380513,1506336,2303536,2113558,2258327,2388158,2321726,2445409,2218621,2328052,2418767,2385898,2354615,2194107,2279278,2186751,2641383,2681690,2738661,2873176,3110417,3438307,3720605,3332741,3519880,3362869,3614289,3793451,3713555,3761974,3694404,3822437,4190999,4190937,4095428,4299216,4393641,4275888,4056469,3561700,3438205,3295261,3316212,3386535,3414687,3376470,3404877,3293252,3646236,3428052,3555550,3648881,3489403,3326408,3311713,3410981,3314834,3347485,3416814,3559497,3777842,4001237,4203841,4458900,4502996,4390226,4308429,3937432,3766837,3796834,3123926,3038861,3128588,2774651,2882591,3130139,3663892,4519550,5109878,5147147,5232228,5570281,5471029,5643176,5903581,5825635,5927916,6034200,6131155,6198847,6129282
"Households and nonprofit organizations; indirectly held debt securities; asset","Currency","1000000","USD",Z1/Z1/LM154022075.Q,LM154022075.Q,1060,1144,1202,1285,1414,1550,1770,1860,1917,1978,2069,2142,2192,2261,2339,2443,2514,2621,2722,2807,2935,3068,3138,3281,3249,3522,3644,3781,3963,4010,4087,4272,4524,4601,4659,4788,4904,5116,5313,5425,5549,5704,5845,5919,5944,6123,6494,6514,6530,6797,6939,7019,6952,7273,7442,7609,7859,7992,8149,8602,8546,8930,9048,9677,9994,10417,10695,10466,9986,9842,10021,10729,10166,10519,10068,11055,10609,11270,11130,11595,12820,12355,12065,11706,11372,10928,11667,12228,12570,13587,13890,14802,15194,15948,16050,16849,17181,17947,18945,20199,21433,22711,23539,24127,24838,25082,25773,26629,28581,30211,31535,32436,33450,33602,33925,35289,37592,39524,38939,42099,46128,48486,50142,52220,54988,56788,60655,63833,66624,69569,72948,77500,82713,87315,91415,96863,98207,106877,114281,125662,141611,156389,190717,223925,250803,281628,315401,367721,362100,356156,344147,341408,346107,346834,344880,342751,354962,364727,363060,372157,385316,385447,410834,450937,476143,507467,567437,545565,582989,620826,649039,710386,746772,791504,824941,777082,759395,758323,716654,731677,740579,764267,796423,805751,816560,831689,846707,848668,876053,923637,954837,1000698,1037210,1057407,1066027,1071828,1090095,1076969,1068435,1063476,1048014,1063237,1060250,1102835,1131466,1125395,1145923,1186492,1226955,1286529,1309115,1353814,1436750,1426859,1448782,1431313,1444106,1493552,1516898,1513233,1562988,1595110,1614381,1573951,1584451,1653258,1718087,1772963,1818100,1874275,1942825,1952405,1992210,1912870,1780332,1842385,2030548,2266752,2382191,2545581,2690016,2865323,2881216,2831981,2864022,2821197,3016363,3219932,3334360,3505898,3594482,3677783,3519504,3456301,3446019,3482447,3590521,3584365,3656601,3748835,3730184,3699033,3673339,3779501,3937489,4038498,3910702,4016630,4149972,4287722,4366384,4391504,4429613,4476034,4338503,4513097,4741999,4915922,5049483,4693180,5024954,5300595,5500710,5548858,5719191,5818292,5922674,5570637,5097168,4827448,4846798,4989556,5043585,4928890,5163786,5305794,5325690,5604400,5507329,5659697,5718767,5894750,6002409,6051639
"Life insurance companies; debt securities held indirectly through mutual funds; asset","Currency","1000000","USD",Z1/Z1/LM544022053.Q,LM544022053.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12697,13805,15892,17088,20655,20075,22317,24464,26908,31150,34668,39478,44422,43599,44835,45460,45335,47912,54057,58237,63312,65558,68153,71953,75322,77134,82501,88996,92910,99728,105859,107174,112775,114874,118462,116157,121177,123028,122482,126179,127183,129147,134116,130860,137787,145038,144814,147632,153854,158555,171016,173423,179849,177359,182387,187950,192433,189672,199116,202214,204403,206060,207364,217927,230195,233568,240076,249749,259507,255197,258008,245610,226644,234078,257254,287985,302878,320438,335648,356588,363787,355697,355696,341291,372965,392431,400203,417920,426612,432060,410695,400837,397180,394729,403635,399281,408257,415402,409298,403032,401124,407377,421131,429919,417599,419257,426918,435179,437212,433453,436961,438028,421468,427756,439956,452414,457543,417465,442983,462370,477808,473272,486541,485384,484856,451198,410024,387988,388758,394221,394914,380299,394810,398551,395272,408366,398194,398614,397024,408961,412596,405756
"Private defined contribution pension funds; debt held directly and indirectly through mutual funds; asset","Currency","1000000","USD",Z1/Z1/LM574022075.Q,LM574022075.Q,873,925,978,1030,1095,1152,1308,1359,1407,1462,1530,1600,1672,1737,1792,1848,1906,1973,2051,2130,2207,2273,2318,2365,2423,2497,2593,2687,2772,2844,2907,2974,3046,3124,3206,3260,3342,3417,3514,3577,3630,3698,3802,3828,3908,3963,4045,4101,4195,4237,4341,4419,4506,4596,4663,4763,4826,4883,5025,5140,5183,5198,5276,5470,5530,5609,5720,5761,5747,5816,5842,5978,5979,6015,6077,6077,6033,6151,6202,6247,6267,6465,6619,6483,6301,6219,6387,6644,7071,7690,8125,8656,8978,9498,9826,10203,10653,11448,12250,13389,14439,15475,16309,17158,17954,18111,18285,18505,19425,19751,20633,20844,21826,22287,22767,23553,25048,26743,28158,30730,32836,34667,36425,37916,39682,41214,43822,46629,48914,50550,52509,54464,56382,60029,62296,64207,63429,67611,71967,72631,74237,75357,81155,85769,85700,87754,97154,111135,110476,113396,111020,104181,105423,104845,105029,102381,106468,113204,117914,120400,129418,129954,133050,143283,148023,153710,162697,162527,165632,175266,182700,192850,194341,209352,214273,214345,221911,227652,227719,238397,243426,248783,259647,267533,268037,272377,279998,285095,295667,309333,316189,329888,333277,337849,343874,353638,362214,365722,364735,366542,363398,368966,376093,388440,382886,377049,370826,396968,407843,437030,446529,451343,467189,460636,465864,452715,461584,468963,479578,486665,509696,528198,546162,491647,496345,515651,525917,536353,544673,561460,578345,587583,596037,587108,580651,601451,644216,700642,724380,766083,811318,862740,863942,847890,858853,869124,910890,962092,1002895,1053090,1078346,1099494,1066335,1063465,1068940,1083541,1116937,1121737,1141432,1162360,1152933,1152777,1144600,1208883,1260559,1293187,1262250,1296805,1341968,1373093,1398782,1386408,1398501,1410423,1398362,1443278,1507810,1568990,1602457,1555573,1658687,1735932,1794913,1792588,1856459,1888860,1913778,1814073,1702359,1629844,1659399,1723828,1748595,1724826,1828992,1863039,1883075,1985823,1953427,2012336,2036524,2059169,2093510,2106288
