Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,TopPt1,1757168,1802302,139254,195557,305340,14873,23679,586079,537519,45133,14499,21065,9569
1989:Q3,RemainingTop1,2904273,2989040,479105,163330,590198,145079,84577,723594,803156,84766,65913,5120,13733
1989:Q3,Next9,7765864,8247017,2023859,418759,811434,1573582,453563,1015740,1950080,481153,373967,58994,48192
1989:Q3,Next40,7294829,8849696,3425336,754279,359529,1620043,398019,603923,1688567,1554867,1149188,355269,50410
1989:Q3,Bottom50,717856,1704710,825615,364255,23943,128754,54184,40285,267674,986854,607588,343758,35508
1989:Q4,TopPt1,1812476,1856293,152996,197956,318765,17537,22896,593204,552940,43817,14687,19570,9560
1989:Q4,RemainingTop1,2967283,3057994,501151,162985,602178,155545,88754,730971,816410,90712,69417,6128,15167
1989:Q4,Next9,7891125,8390273,2070883,416144,830478,1591390,472692,1025957,1982729,499148,386947,63302,48899
1989:Q4,Next40,7436835,9015852,3445677,772969,375310,1672661,416134,605852,1727250,1579017,1167130,361748,50139
1989:Q4,Bottom50,710263,1725114,823610,375530,25373,129934,55758,40843,274066,1014850,622402,358537,33911
1990:Q1,TopPt1,1795997,1838256,162793,186561,287003,20229,21579,597942,562150,42259,15383,17236,9640
1990:Q1,RemainingTop1,2951478,3047569,503707,165147,567393,165206,90013,736615,819489,96091,72748,6476,16867
1990:Q1,Next9,7866339,8387675,2049457,429028,784051,1601785,479924,1033576,2009854,521336,408800,61286,51250
1990:Q1,Next40,7521091,9114968,3446873,797664,370390,1719826,420249,606854,1753112,1593877,1194753,348053,51071
1990:Q1,Bottom50,733086,1769910,850154,388584,24674,130895,55578,41408,278616,1036823,643715,359269,33839
1990:Q2,TopPt1,1839321,1880500,173951,188712,303644,22862,20142,606627,564562,41178,16074,15559,9545
1990:Q2,RemainingTop1,3004861,3105699,522316,164441,581554,175256,92308,743866,825959,100839,75625,7154,18060
1990:Q2,Next9,7955558,8499205,2085970,425262,807028,1615241,499613,1044509,2021581,543647,428662,62897,52088
1990:Q2,Next40,7638761,9252765,3469957,814924,387934,1769313,430691,608581,1771366,1614004,1217147,346083,50774
1990:Q2,Bottom50,711587,1769532,832969,399048,26279,131935,55910,41966,281425,1057944,658409,367019,32516
1990:Q3,TopPt1,1777413,1817040,186736,172447,217746,25522,18777,616828,578984,39627,16420,13989,9218
1990:Q3,RemainingTop1,2946033,3051353,527081,166702,487174,184728,91677,751457,842534,105321,78902,7982,18437
1990:Q3,Next9,7855169,8414712,2072757,437733,677728,1623305,493324,1056496,2053369,559543,443603,65534,50406
1990:Q3,Next40,7707109,9338704,3500067,832288,355534,1814873,424612,610396,1800934,1631596,1235862,347056,48678
1990:Q3,Bottom50,742667,1821934,876084,406984,22810,132813,54677,42520,286047,1079267,672479,377742,29046
1990:Q4,TopPt1,1866701,1904675,197089,162074,268122,28146,18057,621820,609366,37973,16326,12319,9328
1990:Q4,RemainingTop1,3031977,3143938,529308,167824,536477,194473,96240,755733,863883,111961,82834,8828,20299
1990:Q4,Next9,7990024,8563163,2054271,444544,750924,1633481,514311,1063064,2102567,573138,452598,67819,52721
1990:Q4,Next40,7816600,9463486,3460919,849139,390546,1862058,444559,610522,1845743,1646886,1250812,346619,49455
1990:Q4,Bottom50,767184,1872029,904808,415460,26143,133744,56466,43092,292315,1104844,687241,388806,28797
